day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
Sunday,1,2014-09-14,2146,1582,1430,152
Monday,2,2014-09-15,3621,2528,2297,231
Tuesday,3,2014-09-16,3698,2630,2352,278
Wednesday,4,2014-09-17,3667,2614,2327,287
Thursday,5,2014-09-18,3316,2366,2130,236
Friday,6,2014-09-19,2815,1863,1622,241
Saturday,7,2014-09-20,1658,1118,985,133
Sunday,1,2014-09-21,2288,1656,1481,175
Monday,2,2014-09-22,3638,2586,2312,274
Tuesday,3,2014-09-23,4462,3257,2989,268
Wednesday,4,2014-09-24,4414,3175,2891,284
Thursday,5,2014-09-25,4315,3029,2743,286
Friday,6,2014-09-26,3323,2249,2033,216
Saturday,7,2014-09-27,1656,1180,1040,140
Sunday,1,2014-09-28,2465,1806,1613,193
Monday,2,2014-09-29,4096,2873,2577,296
Tuesday,3,2014-09-30,4474,3032,2720,312
Wednesday,4,2014-10-01,4124,2849,2541,308
Thursday,5,2014-10-02,3514,2489,2239,250
Friday,6,2014-10-03,3005,2097,1856,241
Saturday,7,2014-10-04,2054,1436,1274,162
Sunday,1,2014-10-05,2847,1913,1713,200
Monday,2,2014-10-06,4501,3181,2853,328
Tuesday,3,2014-10-07,4603,3163,2804,359
Wednesday,4,2014-10-08,4187,3014,2663,351
Thursday,5,2014-10-09,4343,2864,2545,319
Friday,6,2014-10-10,3565,2382,2100,282
Saturday,7,2014-10-11,2080,1457,1280,177
Sunday,1,2014-10-12,3031,2089,1856,233
Monday,2,2014-10-13,4814,3339,2973,366
Tuesday,3,2014-10-14,5040,3604,3217,387
Wednesday,4,2014-10-15,5028,3515,3094,421
Thursday,5,2014-10-16,4658,3331,2955,376
Friday,6,2014-10-17,3624,2477,2148,329
Saturday,7,2014-10-18,2285,1619,1416,203
Sunday,1,2014-10-19,3454,2346,2060,286
Monday,2,2014-10-20,5307,3717,3308,409
Tuesday,3,2014-10-21,5135,3701,3280,421
Wednesday,4,2014-10-22,5084,3611,3177,434
Thursday,5,2014-10-23,4650,3316,2940,376
Friday,6,2014-10-24,3571,2498,2170,328
Saturday,7,2014-10-25,2354,1661,1417,244
Sunday,1,2014-10-26,3497,2508,2218,290
Monday,2,2014-10-27,5294,3737,3286,451
Tuesday,3,2014-10-28,4643,3328,2905,423
Wednesday,4,2014-10-29,4596,3279,2863,416
Thursday,5,2014-10-30,4162,3041,2657,384
Friday,6,2014-10-31,2933,2007,1728,279
Saturday,7,2014-11-01,2202,1496,1270,226
Sunday,1,2014-11-02,3083,2204,1940,264
Monday,2,2014-11-03,4376,3057,2629,428
Tuesday,3,2014-11-04,4704,3141,2739,402
Wednesday,4,2014-11-05,4306,3200,2797,403
Thursday,5,2014-11-06,4178,3034,2627,407
Friday,6,2014-11-07,3236,2318,1975,343
Saturday,7,2014-11-08,2010,1536,1345,191
Sunday,1,2014-11-09,2901,2141,1849,292
Monday,2,2014-11-10,4754,3325,2885,440
Tuesday,3,2014-11-11,4417,3203,2793,410
Wednesday,4,2014-11-12,4535,3351,2897,454
Thursday,5,2014-11-13,4274,3194,2758,436
Friday,6,2014-11-14,3382,2423,2061,362
Saturday,7,2014-11-15,2085,1488,1280,208
Sunday,1,2014-11-16,3083,2215,1926,289
Monday,2,2014-11-17,4860,3559,3069,490
Tuesday,3,2014-11-18,4893,3570,3133,437
Wednesday,4,2014-11-19,4866,3544,3056,488
Thursday,5,2014-11-20,4584,3357,2899,458
Friday,6,2014-11-21,3914,2750,2361,389
Saturday,7,2014-11-22,2431,1716,1463,253
Sunday,1,2014-11-23,3157,2369,2082,287
Monday,2,2014-11-24,5045,3615,3146,469
Tuesday,3,2014-11-25,4746,3236,2821,415
Wednesday,4,2014-11-26,4314,2919,2513,406
Thursday,5,2014-11-27,3663,2476,2162,314
Friday,6,2014-11-28,3270,2268,1931,337
Saturday,7,2014-11-29,2905,1976,1695,281
Sunday,1,2014-11-30,4016,2832,2489,343
Monday,2,2014-12-01,5266,3877,3317,560
Tuesday,3,2014-12-02,5795,4274,3700,574
Wednesday,4,2014-12-03,5728,4217,3656,561
Thursday,5,2014-12-04,5293,3830,3295,535
Friday,6,2014-12-05,3934,2856,2479,377
Saturday,7,2014-12-06,3071,2165,1855,310
Sunday,1,2014-12-07,3876,2984,2582,402
Monday,2,2014-12-08,5878,4375,3829,546
Tuesday,3,2014-12-09,5712,4187,3635,552
Wednesday,4,2014-12-10,5491,4074,3480,594
Thursday,5,2014-12-11,5144,3801,3247,554
Friday,6,2014-12-12,3880,2860,2418,442
Saturday,7,2014-12-13,2605,1838,1538,300
Sunday,1,2014-12-14,3625,2650,2259,391
Monday,2,2014-12-15,4685,3478,3000,478
Tuesday,3,2014-12-16,4891,3338,2861,477
Wednesday,4,2014-12-17,4222,3053,2606,447
Thursday,5,2014-12-18,3691,2690,2275,415
Friday,6,2014-12-19,2748,1879,1559,320
Saturday,7,2014-12-20,1380,1011,836,175
Sunday,1,2014-12-21,1474,1054,876,178
Monday,2,2014-12-22,2452,1715,1394,321
Tuesday,3,2014-12-23,2298,1440,1159,281
Wednesday,4,2014-12-24,1430,947,772,175
Thursday,5,2014-12-25,1002,667,522,145
Friday,6,2014-12-26,1486,1005,808,197
Saturday,7,2014-12-27,1345,941,781,160
Sunday,1,2014-12-28,1453,948,765,183
Monday,2,2014-12-29,2173,1472,1228,244
Tuesday,3,2014-12-30,2208,1424,1172,252
Wednesday,4,2014-12-31,1381,955,773,182
Thursday,5,2015-01-01,1265,876,715,161
Friday,6,2015-01-02,1948,1288,1030,258
Saturday,7,2015-01-03,1742,1096,946,150
Sunday,1,2015-01-04,1896,1409,1186,223
Monday,2,2015-01-05,3033,2062,1706,356
Tuesday,3,2015-01-06,3445,2327,1942,385
Wednesday,4,2015-01-07,3423,2384,1991,393
Thursday,5,2015-01-08,3319,2272,1922,350
Friday,6,2015-01-09,2783,1941,1663,278
Saturday,7,2015-01-10,1952,1240,1066,174
Sunday,1,2015-01-11,2245,1611,1391,220
Monday,2,2015-01-12,3928,2518,2125,393
Tuesday,3,2015-01-13,3810,2621,2239,382
Wednesday,4,2015-01-14,3931,2656,2229,427
Thursday,5,2015-01-15,3523,2457,2069,388
Friday,6,2015-01-16,2943,1928,1640,288
Saturday,7,2015-01-17,1751,1237,1052,185
Sunday,1,2015-01-18,2491,1762,1541,221
Monday,2,2015-01-19,3766,2665,2271,394
Tuesday,3,2015-01-20,4194,2852,2423,429
Wednesday,4,2015-01-21,4038,2916,2482,434
Thursday,5,2015-01-22,3891,2702,2334,368
Friday,6,2015-01-23,3111,2181,1897,284
Saturday,7,2015-01-24,1946,1414,1239,175
